,idleft,lang,reply_settings,text,source,edit_history_tweet_ids,author_id,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,in_reply_to_user_id,geo.place_id,withheld.copyright,withheld.country_codes,withheld.scope,geo.coordinates.type,geo.coordinates.coordinates,type,idright
52,1603178116377108480,pt,everyone,RT @mulher_gato_: BRICADEIRA DE MENINAS #lésbicas #gostosas #chupada #vacina #buceta #bunda https://t.co/KgGqdGGUPF,Twitter for iPhone,['1603178116377108480'],1583216239836553216,1603178116377108480,2022-12-15T00:00:23.000Z,491,0,0,0,,,,,,,,retweeted,1511261551784861698
53,1603178107007123457,pt,everyone,Vacinação contra covid-19 segue nesta quinta-feira (15) em Salvador https://t.co/6u6zkjUIUh,Jetpack.com,['1603178107007123457'],4734028995,1603178107007123457,2022-12-15T00:00:20.000Z,0,0,0,0,,,,,,,,,
54,1603178106222743555,pt,everyone,"@henrique_back5 @odiodobeem @andrizek Não, ele NEGLIGENCIOU vacina só no Brasil",Twitter for Android,['1603178106222743555'],1321877809363587073,1602734505814626304,2022-12-15T00:00:20.000Z,0,0,0,0,1570794805906522117,,,,,,,replied_to,1603149481922412546
55,1603178066351902720,pt,everyone,Preciso urgentemente de vacina pra raiva,Twitter for Android,['1603178066351902720'],1448452420581867523,1603178066351902720,2022-12-15T00:00:11.000Z,0,0,0,0,,,,,,,,,
56,1603178052229423104,pt,everyone,"RT @DaAcervo: ""Uma série geral de autópsias mostrou que 71% de todos os pacientes encontrados mortos, em casa, 20 dias após a vacinação, fo…",Twitter for Android,['1603178052229423104'],1009962238709583872,1603178052229423104,2022-12-15T00:00:07.000Z,1932,0,0,0,,,,,,,,retweeted,1602720475389517824
57,1603178036509216774,pt,everyone,"Quando cai a ficha que eu tenho 3 GATOS isso me choca um pouco

Quero viajar, tem que levar os três junto

Quero fazer intercâmbio, não tenho com quem deixar eles

Quero dividir o ap, tem que encontrar alguém que goste mt de gatos tbm

Ração, vacina, etc td em 3x

Eu sou maluca?",Twitter for iPhone,['1603178036509216774'],1198430399380238336,1603178036509216774,2022-12-15T00:00:04.000Z,0,0,0,0,,,,,,,,,
58,1603178025910403073,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603178025910403073'],565975910,1603178025910403073,2022-12-15T00:00:01.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
59,1603177979013652480,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603177979013652480'],1564423113588228099,1603177979013652480,2022-12-14T23:59:50.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
60,1603177944473559042,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for iPhone,['1603177944473559042'],983867436800888833,1603177944473559042,2022-12-14T23:59:42.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
61,1603177930137522178,pt,everyone,"RT @epimeme: Governo da Flórida inicia oficialmente investigação sobre Pfizer na Suprema Corte do Estado sobre corrupção, mentiras sobre va…",Twitter for Android,['1603177930137522178'],1595003357239844866,1603177930137522178,2022-12-14T23:59:38.000Z,4154,0,0,0,,,,,,,,retweeted,1602993462537854978
62,1603177899959296001,pt,everyone,"RT @zeininha1: Ainnn gente... To bem não... Não durmo, como ou trabalho direito desde 30/10. Domingo teria sido o aniversário de 46 anos do…",Twitter for Android,['1603177899959296001'],1518753417279250432,1603177899959296001,2022-12-14T23:59:31.000Z,123,0,0,0,,,,,,,,retweeted,1602724117664391169
63,1603177860084424704,pt,everyone,@atarde Com vacina velha,Twitter for Android,['1603177860084424704'],1267506286029086720,1603177655662256130,2022-12-14T23:59:22.000Z,0,0,0,0,97281059,,,,,,,replied_to,1603177655662256130
64,1603177855583756288,pt,everyone,"RT @zeininha1: Ainnn gente... To bem não... Não durmo, como ou trabalho direito desde 30/10. Domingo teria sido o aniversário de 46 anos do…",Twitter for Android,['1603177855583756288'],1379418647236644864,1603177855583756288,2022-12-14T23:59:21.000Z,123,0,0,0,,,,,,,,retweeted,1602724117664391169
